"","firstname","lastname","unow","uphd","yearphd","citecount"
"95","Paul M.","Sniderman","Stanford U","UC Berkeley","1968","15270"
"96","Robert","Shapiro","Columbia U","U of Chicago","1982","15207"
"97","G. John","Ikenberry","Princeton U","U of Chicago","1985","15135"
"98","Benjamin I.","Page","Northwestern U","Stanford U","1973","15014"
"99","Michael","Bratton","Michigan State U","Brandeis U","1978","14948"
"100","Michael","Hechter","Arizona State U","Columbia U","1972","14890"
"101","Joshua","Cohen","Stanford U","Harvard U","1979","14841"
"102","Michael","Doyle","Columbia U","Harvard U","1977","14757"
"103","Richard S.","Katz","Johns Hopkins U","Yale U","1974","14624"
"104","Peter C.","Ordeshook","Caltech","U of Rochester","1969","14601"
"105","Jack A.","Goldstone","George Mason U","Harvard U","1981","14549"
"106","Lee","Epstein","Washington U","Emory U","1983","14365"
"107","Evelyne","Huber","UNC Chapel Hill","Yale U","1977","14326"
"108","James L.","Gibson","Washington U","U of Iowa","1975","14264"
"109","Sven","Steinmo","U of Colorado","UC Berkeley","1987","14146"
"110","Paul E.","Peterson","Harvard U","U of Chicago","1967","14104"
"111","Michael L.","Ross","UCLA","Princeton U","1997","14014"
"112","Edward D.","Mansfield","U of Pennsylvania","U of Pennsylvania","1969","13925"
"113","Steven","Brams","New York U","Northwestern U","1966","13890"
"114","David A.","Lake","UC San Diego","Cornell U","1984","13744"
"115","Jonathan N.","Katz","Caltech","UC San Diego","1992","13712"
"116","Nicholas","Sambanis","U of Pennsylvania","Princeton U","1999","13703"
"117","Eric M.","Uslaner","U of Maryland","Indiana U","1973","13694"
"118","Kaare","Strom","UC San Diego","Stanford U","1984","13667"
"119","Susan","Welch","Pennsylvania State U","U of Illinois Urbana Champaign","1970","13547"
"120","Robert B.","Reich","Stanford U","Stanford U","1998","13499"
"121","Hal G.","Rainey","U of Georgia","Ohio State U","1978","13439"
"122","Jack","Donnelly","U of Denver","UC Berkeley","1982","13438"
"123","Jose A.","Cheibub","Texas A&M","U of Chicago","1994","13416"
"124","Torben","Iversen","Harvard U","Duke U","1995","13328"
"125","Robert","Huckfeldt","UC Davis","Washington U St. Louis","1977","13321"
"126","Jeffery","Segal","SUNY Stony Brook","Michigan State U","1983","13277"
"127","Stephen M.","Walt","Harvard U","UC Berkeley","1983","13233"
"128","Richard","Lau","Rutgers U","UCLA","1979","13027"
"129","Andrew","Bennett","Georgetown U","Harvard U","1990","12838"
"130","Daniel","Treisman","UCLA","Harvard U","1995","12816"
"131","Alan","Gerber","Yale U","MIT","1994","12648"
"132","Alastair","Smith","New York U","U of Rochester","1995","12562"
"133","Jean Louise","Cohen","Columbia U","New School for Social Research","1979","12417"
"134","Latanya","Sweeney","Harvard U","MIT","2001","12359"
"135","James","Morrow","U of Michigan","U of Rochester","1982","12251"
"136","Jack","Levy","Rutgers U","U of Wisconsin Madison","1976","12154"
"137","Diana","Mutz","U of Pennsylvania","Stanford U","1988","12154"
"138","Nicolas","van de Walle","Cornell U","Princeton U","1990","11951"
"139","David","Lazer","Northeastern U","U of Michigan","1996","11811"
"140","Mark","Pollack","Temple U","Harvard U","1995","11679"
"141","Thomas G.","Weiss","CUNY Graduate School","Princeton U","1974","11640"
"142","David","Mayers","Boston U","U of Chicago","1979","11622"
"143","Kosuke","Imai","Princeton U","Harvard U","2003","11564"
"144","Scott L.","Page","U of Michigan","U of Michigan","1985","11541"
"145","Arthur","Lupia","U of Michigan","Caltech","1991","11317"
"146","Terry L.","Karl","Stanford U","Stanford U","1982","11193"
"147","Steven J.","Rosenstone","U of Minnesota","UC Berkeley","1979","11137"
"148","William","Berry","Florida State U","U of Minnesota","1980","10974"
"149","Martin","Wattenberg","UC Irvine","U of Michigan","1982","10886"
"150","Michael","MacKuen","UNC Chapel Hill","U of Michigan","1979","10774"
"151","Clyde","Wilcox","Georgetown U","Ohio State U","1984","10636"
"152","R. Michael","Alvarez","Caltech","Duke U","1992","10624"
"153","Robert","Kaufman","Rutgers U","Harvard U","1967","10614"
"154","Jane","Bennett","Johns Hopkins U","U of Massachusetts","1986","10612"
"155","Stathis N.","Kalyvas","Yale U","U of Chicago","1993","10536"
"156","Joan","Tronto","U of Minnesota","Princeton U","1981","10527"
"157","John","Hibbing","U of Nebraska Lincoln","U of Iowa","1980","10372"
"158","Ian","Shapiro","Yale U","Yale U","1983","10347"
"159","James H.","Kuklinski","U of Illinois Urbana","U of Illinois Urbana Champaign","1975","10215"
"160","Susan","Stokes","Yale U","Stanford U","1988","10154"
"161","Michael","Tomz","Stanford U","Harvard U","2001","10091"
"162","Cas","Mudde","U of Georgia","Leiden U","1998","10087"
"163","H. Brinton","Milward","U of Arizona","Ohio State U","1978","9997"
"164","Jeffry","Frieden","Harvard U","Columbia U","1984","9995"
"165","Jacob","Hacker","Yale U","Yale U","2000","9995"
"166","Christopher","Achen","Princeton U","Yale U","1974","9985"
"167","Mitchell A.","Seligson","Vanderbilt U","U of Pittsburgh","1974","9920"
"168","Benjamin J.","Cohen","UC Santa Barbara","Columbia U","1963","9857"
"169","Judith L.","Goldstein","Stanford U","UCLA","1983","9852"
"170","Jack","Citrin","UC Berkeley","UC Berkeley","1971","9836"
"171","John","Brigham","U of Massachusetts Amherst","UC Santa Barbara","1975","9816"
"172","David W.","Rohde","Duke U","U of Rochester","1971","9813"
"173","Jack","Knight","Duke U","U of Chicago","1989","9775"
"174","Burt L.","Monroe","Pennsylvania State U","Oxford U","1994","9773"
"175","James A.","Caporaso","U of Washington","U of Pennsylvania","1968","9753"
"176","David L.","Weimer","U of Wisconsin Madison","UC Berkeley","1978","9706"
"177","David","Austen-Smith","Northwestern U","Cambridge U","1978","9579"
"178","William","Thompson","Indiana U Bloomington","U of Washington","1972","9534"
"179","Barbara","Geddes","UCLA","UC Berkeley","1986","9467"
"180","Brendan","O'Leary","U of Pennsylvania","LSE","1988","9372"
"181","Milton","Lodge","SUNY Stony Brook","U of Michigan","1967","9184"
"182","G David","Garson","North Carolina State U","Harvard U","1969","9174"
"183","D. Roderick","Kiewiet","Caltech","Yale U","1980","9150"
"184","Susan","Buck-Morss","Cornell U","Georgetown U","1975","9107"
"185","Alastair Iain","Johnston","Harvard U","U of Michigan","1993","9104"
"186","James E.","Alt","Harvard U","U of Essex","1978","9000"
"187","John Fuh-sheng","Hsieh","U of South Carolina","U of Rochester","1982","8989"
"188","Clark C.","Gibson","UC San Diego","Duke U","1995","8948"
"189","Norman","Schofield","Washington U","Essex U","1985","8939"
"190","Shaun","Bowler","UC Riverside","Washington U St. Louis","1989","8930"
"191","Atul","Kohli","Princeton U","UC Berkeley","1981","8925"
"192","Gary","Goertz","U of Notre Dame","U of Michigan","1988","8923"
"193","Paul","Diehl","U of Texas Dallas","U of Michigan","1983","8874"
"194","Charles","Beitz","Princeton U","Princeton U","1978","8871"
"195","Gregory A.","Caldeira","Ohio State U","Princeton U","1978","8857"
"196","Bruce","Bimber","UC Santa Barbara","MIT","1992","8798"
"197","William","Mishler","U of Arizona","Duke U","1973","8777"
"198","Lawrence R.","Jacobs","U of Minnesota","Columbia U","1990","8762"
"199","Harold D.","Clarke","U of Texas Dallas","Duke U","1971","8727"
"200","Jeffrey M.","Berry","Tufts U","Johns Hopkins","1974","8573"
"201","Ira","Katznelson","Columbia U","Cambridge U","1969","8540"
"202","Robert","Pape","U of Chicago","U of Chicago","1988","8516"
"203","Alan I.","Abramowitz","Emory U","Stanford U","1976","8495"
"204","Zeev","Maoz","UC Davis","U of Michigan","1981","8463"
"205","Drucilla","Cornell","Rutgers U","UCLA","1981","8462"
"206","Paul R.","Abramson","Michigan State U","UC Berkeley","1967","8434"
"207","David","Lowery","Pennsylvania State U","Michigan State U","1981","8402"
"208","Holli A.","Semetko","Emory U","LSE","1987","8401"
"209","Martin","Gilens","Princeton U","UC Berkeley","1991","8390"
"210","Aseem","Prakash","U of Washington","Indiana U","1997","8348"
"211","Gerald","Wright","Indiana U","UNC Chapel Hill","1973","8227"
"212","Caroline J.","Tolbert","U of Iowa","U of Colorado Boulder","1996","8217"
"213","Gary","Freeman","UT Austin","U of Wisconsin Madison","1975","8166"
"214","Lisa","Martin","U of Wisconsin Madison","Harvard U","1989","8148"
"215","Christopher","Wlezien","UT Austin","U of Iowa","1989","8142"
"216","James","Riedel","Johns Hopkins U","UC Davis","1972","7994"
"217","Brian","Levy","Johns Hopkins U","Harvard U","1983","7924"
"218","Michele","Betsill","Colorado State U","U of Colorado","2000","7908"
"219","John","Huber","Columbia U","U of Rochester","1991","7880"
"220","Wayne A.","Sandholtz","U of Southern California","UC Berkeley","1989","7877"
"221","Mark M.","Blyth","Brown U","Columbia U","1999","7850"
"222","Anthony","Pagden","UCLA","Oxford U","1983","7799"
"223","Leonie","Huddy","SUNY Stony Brook","UCLA","1989","7783"
"224","Christopher","Ansell","UC Berkeley","U of Chicago","1993","7752"
"225","Matt","Golder","Pennsylvania State U","New York U","1999","7723"
"226","Deborah","Brautigam","Johns Hopkins U","Tufts U","1987","7712"
"227","Barry","Posen","MIT","UC Berkeley","1981","7681"
"228","Douglas","Rivers","Stanford U","Harvard U","1983","7653"
"229","Jean C.","Oi","Stanford U","U of Michigan","1983","7635"
"230","Elizabeth J.","Perry","Harvard U","U of Michigan","1978","7591"
"231","Macartan","Humphreys","Columbia U","Harvard U","2003","7589"
"232","Kurt","Weyland","UT Austin","Stanford U","1991","7566"
"233","Leslie","McCall","CUNY Graduate School","U of Wisconsin Madison","1995","7508"
"234","Michael","Shapiro","U of Hawaii","Northwestern U","1966","7505"
"235","Edward","Rubin","Vanderbilt U","Yale Law School","1979","7491"
"236","Mark P.","Jones","Rice U","U of Michigan","1994","7487"
"237","Michael C.","Munger","Duke U","Washington U","1984","7417"
"238","John","Mollenkopf","CUNY Graduate School","Harvard U","1974","7322"
"239","John","Jackson","U of Michigan","Harvard U","1969","7307"
"240","Jens","Hainmueller","Stanford U","Harvard U","2009","7294"
"241","Kenneth F.","Scheve","Stanford U","Harvard U","2000","7290"
"242","Robert","Powell","UC Berkeley","UC Berkeley","1985","7266"
"243","Stuart","Soroka","U of Michigan","U of British Columbia","2000","7228"
"244","George C.","Edwards III","Texas A&M","U of Wisconsin Madison","1973","7187"
"245","Bernard","Manin","New York U","Institut d'Etudes Politiques","1995","7135"
"246","Thomas","Romer","Princeton U","Yale U","1974","7115"
"247","Steven E.","Finkel","U of Pittsburgh","SUNY Stony Brook","1984","7057"
"248","Valerie Jane","Bunce","Cornell U","U of Michigan","1976","7038"
"249","Josiah","Ober","Stanford U","U of Michigan","1980","7016"
"250","Bruce Edward","Cain","UC Berkeley","Harvard U","1976","7004"
"251","Pamela","Conover","UNC Chapel Hill","U of Minnesota","1979","6991"
"252","Dennis","Chong","U of Southern California","UC Berkeley","1987","6974"
"253","Daniel","Posner","UCLA","Harvard U","1998","6950"
"254","Virginia","Gray","U of Minnesota","Washington U","1972","6921"
"255","Devesh","Kapur","U of Pennsylvania","Princeton U","1994","6905"
"256","Wendy","Rahn","U of Minnesota","U of Minnesota","1990","6899"
"257","Thomas H.","Jackson","U of Rochester","Yale U","1975","6849"
"258","Kevin","O’Brien","UC Berkeley","Yale U","1987","6825"
"259","James Raymond","Vreeland","Georgetown U","New York U","1999","6799"
"260","John","Brehm","U of Chicago","U of Michigan","1990","6773"
"261","Stephen","Van Evera","MIT","UC Berkeley","1984","6767"
"262","Douglas","Rae","Yale U","U of Wisconsin","1967","6751"
"263","Janet","Box-Steffensmeier","Ohio State U","U of Texas","1993","6751"
"264","Michael A.","McFaul","Stanford U","Oxford U","1991","6676"
"265","Peter R.","Andreas","Brown U","Cornell U","1999","6668"
"266","Richard K.","Betts","Columbia U","Harvard U","1975","6588"
"267","Joseph","Grieco","Duke U","Cornell U","1982","6579"
"268","Jeffery J.","Mondak","U of Illinois Urbana","Indiana U","1991","6536"
"269","Jennifer","Hochschild","Harvard U","Yale U","1979","6518"
"270","William","Reno","Northwestern U","U of Wisconsin Madison","1992","6516"
"271","Jeremy M.","Weinstein","Stanford U","Harvard U","2003","6514"
"272","Edella","Schlager","U of Arizona","Indiana U","1990","6487"
"273","Thomas","Schwartz","UCLA","U of Pittsburgh","1969","6481"
"274","Ronald","Mitchell","U of Oregon","Harvard U","1992","6479"
"275","Jonathan","Rodden","Stanford U","Yale U","2000","6474"
"276","Rose","McDermott","Brown U","Stanford U","1991","6463"
"277","Luke","Keele","Georgetown U","UNC Chapel Hill","2003","6440"
"278","Scott D.","Sagan","Stanford U","Harvard U","1983","6432"
"279","Andrew D.","Martin","U of Michigan","Washington U St. Louis","1998","6421"
"280","John A.","Vasquez","U of Illinois Urbana","Syracuse U","1974","6418"
"281","Rogers","Smith","U of Pennsylvania","Harvard U","1980","6414"
"282","Joseph","Fewsmith","Boston U","U of Chicago","1980","6375"
"283","Stephen","Haber","Stanford U","UCLA","1985","6364"
"284","Janet","Gornick","CUNY Graduate School","Harvard U","1994","6351"
"285","Randall","Schweller","Ohio State U","Columbia U","1993","6342"
"286","Suzanne","Berger","MIT","Harvard U","1967","6332"
"287","R. Kent","Weaver","Georgetown U","Harvard U","1982","6311"
"288","Emilie","Hafner-Burton","UC San Diego","U of Wisconsin Madison","2003","6304"
"289","Stephen","Skowronek","Yale U","Cornell U","1979","6275"
"290","John","Hansen","U of Chicago","Yale U","1987","6263"
"291","Jasjeet S.","Sekhon","UC Berkeley","Cornell U","1999","6257"
"292","Samuel","Kernell","UC San Diego","UC Berkeley","1975","6232"
"293","William","Clark","Texas A&M","Rutgers U","1994","6214"
"294","Anirudh","Krishna","Duke U","Cornell U","2000","6204"
"295","Andrew","Nathan","Columbia U","Harvard U","1971","6201"
"296","Charles","Taber","SUNY Stony Brook","U of Illinois Urbana Champaign","1991","6150"
"297","Nicholas","Valentino","U of Michigan","UCLA","1998","6150"
"298","Daniel","Carpenter","Harvard U","U of Chicago","1996","6140"
"299","Sumit","Ganguly","Indiana U","U of Illinois Urbana Champaign","1984","6136"
"300","Ronald","Rogowski","UCLA","Princeton U","1970","6135"
"301","Charles","Davis","Colorado State U","U of Houston","1977","6118"
"302","Jeffrey","Henig","Columbia U","Northwestern U","1978","6099"
"303","Margaret","Hermann","Syracuse U","Northwestern U","1965","6085"
"304","Charles","Shipan","U of Michigan","Stanford U","1993","6050"
"305","Marc J.","Hetherington","Vanderbilt U","UT Austin","1997","6046"
"306","David H.","Rosenbloom","American U","U of Chicago","1969","6042"
"307","Gregory","Huber","Yale U","Princeton U","2001","6030"
"308","Charles A.","Kupchan","Georgetown U","Oxford U","1985","6013"
"309","Alexander","Rosenberg","Duke U","John Hopkins U","1971","5968"
"310","John L.","Sullivan","U of Minnesota","U of North Carolina","1970","5948"
"311","Erik A.","Gartzke","UC San Diego","U of Iowa","1997","5943"
"312","William","Howell","U of Chicago","Stanford U","2000","5928"
"313","David","Campbell","U of Notre Dame","Harvard U","2002","5906"
"314","B. Dan","Wood","Texas A&M","U of Houston","1987","5900"
